id,mol_dir_name,bmrbacc,sub_id,x_chem_shift,y_chem_shift,x_width,y_width,height,volume
28238,amygdalin,bmse000139,35,75.888,3.345,2.381,2.912,207762900,1032578000
28239,amygdalin,bmse000139,36,75.483,3.344,2.554,2.852,110065200,460938500
28240,amygdalin,bmse000139,37,75.89,3.324,2.584,3.411,112372700,377143300
28241,D_cellobiose,bmse000138,1,94.518,5.221,2.213,3.721,228991800,1451687000
28242,D_cellobiose,bmse000138,2,98.453,4.667,2.193,3.189,239265500,1660554000
28243,D_cellobiose,bmse000138,3,98.452,4.648,2.261,2.788,272211100,1544841000
28244,D_cellobiose,bmse000138,4,105.254,4.517,2.283,2.959,353068400,2107173000
28245,D_cellobiose,bmse000138,5,105.251,4.497,2.285,2.94,379687500,2272465000
28246,D_cellobiose,bmse000138,6,62.746,3.966,2.354,3.018,108553500,452796000
28247,D_cellobiose,bmse000138,7,72.82,3.956,2.215,4.628,87714790,679883600
28248,D_cellobiose,bmse000138,8,62.754,3.936,2.599,2.942,165935600,829208400
28249,D_cellobiose,bmse000138,9,72.82,3.932,2.19,4.521,96540180,712722700
28250,D_cellobiose,bmse000138,10,63.278,3.928,2.333,3.294,189443400,1172210000
28251,D_cellobiose,bmse000138,11,63.275,3.898,2.279,3.155,280329000,1787567000
28252,D_cellobiose,bmse000138,12,62.614,3.869,2.181,3.942,255286400,2020921000
28253,D_cellobiose,bmse000138,13,74.027,3.817,2.477,2.968,114627600,381070500
28254,D_cellobiose,bmse000138,14,62.739,3.818,2.25,5.458,122412000,1141685000
28255,D_cellobiose,bmse000138,15,62.741,3.788,2.265,5.183,88010700,838746900
28256,D_cellobiose,bmse000138,16,63.276,3.744,2.118,6.493,176475500,2640628000
28257,D_cellobiose,bmse000138,17,63.277,3.718,2.123,9.527,130864100,2853250000
28258,D_cellobiose,bmse000138,18,81.334,3.657,2.62,3.003,137082100,1028021000
28259,D_cellobiose,bmse000138,19,76.991,3.638,2.375,2.875,206593100,1238426000
28260,D_cellobiose,bmse000138,20,81.334,3.636,2.401,3.266,263357200,1871844000
28261,D_cellobiose,bmse000138,21,76.997,3.62,2.332,3.641,162211800,1381685000
28262,D_cellobiose,bmse000138,22,81.341,3.613,2.29,4.226,113714500,1662893000
28263,D_cellobiose,bmse000138,23,77.5,3.601,2.078,5.824,150899500,1716135000
28264,D_cellobiose,bmse000138,24,77.026,3.598,2.431,2.81,72073940,128030100
28265,D_cellobiose,bmse000138,25,73.919,3.585,2.292,3.67,111524800,782259000
28266,D_cellobiose,bmse000138,26,73.935,3.561,2.358,4.074,105556500,812212000
28267,D_cellobiose,bmse000138,27,78.194,3.532,2.478,2.778,113587500,357735200
28268,D_cellobiose,bmse000138,28,78.191,3.509,2.487,2.758,254845900,1430492000
28269,D_cellobiose,bmse000138,29,78.206,3.485,2.952,2.706,150411700,948795800
28270,D_cellobiose,bmse000138,30,72.154,3.487,2.155,3.448,76059960,75557330
28271,D_cellobiose,bmse000138,31,78.699,3.479,2.09,6.349,228903600,3424652000
28272,D_cellobiose,bmse000138,32,78.697,3.434,2.177,2.963,93610840,164502200
28273,D_cellobiose,bmse000138,33,72.158,3.436,2.233,2.967,181626300,1049753000
28274,D_cellobiose,bmse000138,34,72.154,3.412,2.254,3.007,263074500,1462980000
28275,D_cellobiose,bmse000138,35,72.149,3.388,2.39,2.961,109562600,588874000
28276,D_cellobiose,bmse000138,36,75.874,3.333,2.378,3.685,153791600,1680169000
28277,D_cellobiose,bmse000138,37,75.876,3.312,2.275,3.578,262217000,2561117000
28278,D_cellobiose,bmse000138,38,76.601,3.299,2.641,3.052,111086000,694188000
28279,D_cellobiose,bmse000138,39,75.875,3.291,2.387,3.486,140190200,1165113000
28280,D_cellobiose,bmse000138,40,76.599,3.28,2.489,2.955,191367600,1416826000
28281,D_cellobiose,bmse000138,41,76.604,3.259,2.344,3.024,114912400,626022300
28282,gamma_D_galactonolactone,bmse000141,1,76.403,4.636,2.631,2.418,321987100,1733598000
28283,gamma_D_galactonolactone,bmse000141,2,76.408,4.614,2.62,2.364,360116400,1891491000
28284,gamma_D_galactonolactone,bmse000141,3,75.521,4.397,2.315,2.437,136096500,657524000
28285,gamma_D_galactonolactone,bmse000141,4,75.522,4.375,2.256,2.521,281617100,1386561000
28286,gamma_D_galactonolactone,bmse000141,5,75.523,4.35,2.145,3.503,236747000,1566934000
28287,gamma_D_galactonolactone,bmse000141,6,82.732,4.343,2.289,3.295,390820600,2720342000
28288,gamma_D_galactonolactone,bmse000141,7,82.732,4.32,2.343,2.994,236061500,1629587000
28289,gamma_D_galactonolactone,bmse000141,8,74.237,4.257,2.277,2.711,275586000,1361907000
28290,gamma_D_galactonolactone,bmse000141,9,72.781,3.983,2.072,3.581,62597760,409856200
28291,gamma_D_galactonolactone,bmse000141,10,74.019,3.979,2.254,2.792,123109100,563136500
28292,gamma_D_galactonolactone,bmse000141,11,72.782,3.968,2.356,3.198,120744400,895799400
28293,gamma_D_galactonolactone,bmse000141,12,74.019,3.954,2.239,2.981,129740600,684944100
28294,gamma_D_galactonolactone,bmse000141,13,72.784,3.954,2.295,3.565,74796820,693337200
28295,gamma_D_galactonolactone,bmse000141,14,71.584,3.933,2.344,3.972,298602600,3365354000
28296,gamma_D_galactonolactone,bmse000141,15,64.692,3.729,2.528,3.992,525588000,5966247000
28297,gamma_D_galactonolactone,bmse000141,16,71.586,3.722,2.83,2.431,93077910,471909100
28298,gamma_D_galactonolactone,bmse000141,17,64.69,3.717,2.504,4.008,482228700,6017772000
28299,gamma_D_galactonolactone,bmse000141,18,66.03,3.7,2.334,3.615,204149500,1907025000
28300,gamma_D_galactonolactone,bmse000141,19,66.032,3.686,2.33,4.568,178583600,1910355000
28301,gamma_D_galactonolactone,bmse000141,20,72.439,3.65,2.402,2.75,127054100,497559000
28302,gamma_D_galactonolactone,bmse000141,21,72.442,3.625,2.287,2.884,119986300,477900700
28303,D_glucuronate,bmse000140,1,94.815,5.234,2.435,3.357,199645200,1409414000
28304,D_glucuronate,bmse000140,2,98.581,4.644,2.257,2.812,202189500,1197367000
28305,D_glucuronate,bmse000140,3,98.581,4.625,2.285,2.656,222542000,1215851000
28306,D_glucuronate,bmse000140,4,74.585,4.09,2.435,2.579,115748300,469361200
28307,D_glucuronate,bmse000140,5,74.582,4.064,2.657,2.561,121059700,658729300
28308,D_glucuronate,bmse000140,6,78.956,3.732,2.499,3.165,110566900,654509000
28309,D_glucuronate,bmse000140,7,75.258,3.72,2.631,2.476,79456610,315799500
28310,D_glucuronate,bmse000140,8,78.967,3.713,2.42,4.434,116968600,1055545000
28311,D_glucuronate,bmse000140,9,75.268,3.696,3.031,2.51,41308060,74755920
28312,D_glucuronate,bmse000140,10,74.008,3.579,2.47,3.367,73917690,421146600
28313,D_glucuronate,bmse000140,11,74.002,3.554,2.569,3.521,66680530,465661300
28314,D_glucuronate,bmse000140,12,78.25,3.512,2.539,6.914,80275240,1055778000
28315,D_glucuronate,bmse000140,13,74.798,3.512,2.622,2.386,52905160,160945000
28316,D_glucuronate,bmse000140,14,74.55,3.513,2.15,4.013,116173600,1002293000
28317,D_glucuronate,bmse000140,15,78.254,3.494,2.764,2.82,126518700,681655900
28318,D_glucuronate,bmse000140,16,74.548,3.494,2.522,3.223,102102600,703864600
28319,D_glucuronate,bmse000140,17,74.809,3.487,2.45,2.583,97307420,520399700
28320,D_glucuronate,bmse000140,18,74.811,3.463,2.212,2.694,60580600,102295900
28321,D_glucuronate,bmse000140,19,76.694,3.277,2.388,3.377,115118300,868598100
28322,D_glucuronate,bmse000140,20,76.696,3.259,2.392,3.96,66235060,666795600
28323,L_gulonolactone,bmse000235,1,73.527,4.749,2.15,5.276,508050400,4002695000
28324,L_gulonolactone,bmse000235,2,72.286,4.558,2.18,4.889,468817900,4192342000
28325,L_gulonolactone,bmse000235,3,84.063,4.531,2.293,2.978,387371600,2454038000
28326,L_gulonolactone,bmse000235,4,84.064,4.51,2.188,3.199,420103100,2690329000
28327,L_gulonolactone,bmse000235,5,76.204,4.119,2.172,4.218,127227200,957156300
28328,L_gulonolactone,bmse000235,6,76.205,4.111,2.198,3.581,137423900,957156300
28329,L_gulonolactone,bmse000235,7,72.8,4.075,2.277,5.898,294674200,3875927000
28330,L_gulonolactone,bmse000235,8,74.998,3.868,2.216,6.274,131847600,960598600
28331,L_gulonolactone,bmse000235,9,75.333,3.831,2.492,5.703,69935460,731355200
28332,L_gulonolactone,bmse000235,10,64.189,3.824,2.154,3.431,220632200,1312407000
28333,L_gulonolactone,bmse000235,11,75.339,3.814,2.303,3.577,77406480,627143800
28334,L_gulonolactone,bmse000235,12,73.165,3.807,2.159,5.264,138604900,1113920000
28335,L_gulonolactone,bmse000235,13,64.19,3.793,2.179,3.419,399778800,2549576000
28336,L_gulonolactone,bmse000235,14,64.189,3.721,2.145,3.91,275999500,2447175000
28337,L_gulonolactone,bmse000235,15,64.189,3.712,2.116,4.31,271941900,3031492000
28338,L_gulonolactone,bmse000235,16,65.222,3.701,2.332,3.765,86034180,392036400
28339,L_gulonolactone,bmse000235,17,64.189,3.691,2.079,5.475,157888600,3091453000
28340,L_gulonolactone,bmse000235,18,64.19,3.679,2.312,3.237,152506500,1343516000
28341,L_gulonolactone,bmse000235,19,65.225,3.64,2.517,3.159,57851240,104478800
28342,L_gulonolactone,bmse000235,20,65.228,3.623,2.513,4.069,55826140,102555200
28343,glycogen,bmse000232,1,102.494,5.395,2.824,7.443,96526990,2520280000
28344,glycogen,bmse000232,2,102.527,5.309,2.844,0,18407320,33920780
28345,glycogen,bmse000232,3,102.568,5.291,2.929,5.064,16366690,78855220
28346,glycogen,bmse000232,4,65.251,4.813,2.931,2.645,14908250,14541460
28347,glycogen,bmse000232,5,94.118,4.799,3.712,3.226,15026710,14217190
