formula,c_isotope,n_isotope,mass
"C13H15NO2",13,15,231.150926515
"C36H46O14",12,14,702.288756186
"C36H46O14",13,14,738.409530347
"C36H46O14",12,15,702.288756186
"C36H46O14",13,15,738.409530347
"C37H66N7O17P3S",12,14,1005.34487395
"C37H66N7O17P3S",13,14,1042.46900295
"C37H66N7O17P3S",12,15,1012.3241182
"C37H66N7O17P3S",13,15,1049.4482472
"C13H15NO6",12,14,281.089937219
"C13H15NO6",13,14,294.133550111
"C13H15NO6",12,15,282.086972113
"C13H15NO6",13,15,295.130585004
"C21H37ClN+",12,14,338.260904323
"C21H37ClN+",13,14,359.331355917
"C21H37ClN+",12,15,339.257939216
"C21H37ClN+",13,15,360.32839081
"C16H25N5O6",12,14,383.180483561
"C16H25N5O6",13,14,399.234160966
"C16H25N5O6",12,15,388.165658027
"C16H25N5O6",13,15,404.219335432
"C6H13NO2S",12,14,163.066699357
"C6H13NO2S",13,14,169.086828384
"C6H13NO2S",12,15,164.06373425
"C6H13NO2S",13,15,170.083863277
"C9H10N2O",12,14,162.079312953
"C9H10N2O",13,14,171.109506494
"C9H10N2O",12,15,164.07338274
"C9H10N2O",13,15,173.10357628
"C19H24N8O10S3",12,14,620.077751103
"C19H24N8O10S3",13,14,639.141493021
"C19H24N8O10S3",12,15,628.054030249
"C19H24N8O10S3",13,15,647.117772167
"C14H21NO",12,14,219.162314301
"C14H21NO",13,14,233.209282031
"C14H21NO",12,15,220.159349195
"C14H21NO",13,15,234.206316924
"C19H16Cl2N2O4S",12,14,438.020783122
"C19H16Cl2N2O4S",13,14,457.084525041
"C19H16Cl2N2O4S",12,15,440.014852909
"C19H16Cl2N2O4S",13,15,459.078594827
"C16H20NO4+",12,14,290.138684556
"C16H20NO4+",13,14,306.19236196
"C16H20NO4+",12,15,291.135719449
"C16H20NO4+",13,15,307.189396854
"C19H24N7O8P",12,14,509.142397294
"C19H24N7O8P",13,14,528.206139212
"C19H24N7O8P",12,15,516.121641546
"C19H24N7O8P",13,15,535.185383464
"C22H32O2",12,14,328.240230271
"C22H32O2",13,14,350.314036703
"C22H32O2",12,15,328.240230271
"C22H32O2",13,15,350.314036703
"C22H32O3",12,14,344.235144893
"C22H32O3",13,14,366.308951325
"C22H32O3",12,15,344.235144893
"C22H32O3",13,15,366.308951325
"C4H5N3O2",12,14,127.03817642
"C4H5N3O2",13,14,131.051595771
"C4H5N3O2",12,15,130.0292811
"C4H5N3O2",13,15,134.042700451
"C29H33ClN2O2",12,14,476.223056024
